Object ID,Type of Sample,Sample ID,Lab/Museum/FS # if diff than Sample ID,Modern/Arch,Site Name/Area,Site Number,Provenience,Description of Sample,Date,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,Mid Depth,Date of Collection,Source/Citation,Notes ,Links to Other Projects/Repositories,Inst disc. (cfs),pH,HCO3 (mM/L),HCO3 (mg/L),NO3-N (mM/L),NO3-N (mg/L),PO4-P (mM/L),PO4-P (mg/L),Ca (mM/L),Ca (mg/L),Mg (mM/L),Mg (mg/L),Na (mM/L),Na (mg/L),K (mM/L),K (mg/L),Cl (mM/L),Cl (mg/L),SO4 (mM/L),SO4 (mg/L),Residue (mg/L),Cond. (dS/m),HCO3 (% of mM/L),HCO3 (% of mg/L),Cond.@FC (dS/m),TIC (%C),TOC (%C),NO3-N (mg/kg),TON (%)
167,Soils,TGHBM08-1,,Modern,Two Grey Hills,,,Chuska soil samples,,12S,695085,4010788,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,10.02,,,,,,,,,,,,,,,,,,,,8.011,,,40.1,,,0.9,
168,Soils,TGHBM08-2,,Modern,Two Grey Hills,,,Chuska soil samples,,12S,695578,4011332,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,9.33,,,,,,,,,,,,,,,,,,,,2.422,,,12.1,,,1.07,
169,Soils,TGHBM08-2,,Modern,Two Grey Hills,,,Chuska soil samples,,12S,695578,4011332,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8.69,,,,,,,,,,,,,,,,,,,,7.345,,,36.7,,,0.46,
170,Soils,TGHBM08-2,,Modern,Two Grey Hills,,,Chuska soil samples,,12S,695578,4011332,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,9.33,,,,,,,,,,,,,,,,,,,,4.163,,,20.8,,,1.35,
171,Soils,TGHBM08-3,,Modern,Two Grey Hills,,,Chuska soil samples,,12S,694391,4010652,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.24,,,,,,,,,,,,,,,,,,,,0.365,,,1.827,,,5.52,
172,Soils,TGHBM08-3,,Modern,Two Grey Hills,,,Chuska soil samples,,12S,694391,4010652,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8.23,,,,,,,,,,,,,,,,,,,,0.759,,,3.793,,,15.7,
173,Soils,TGHBM08-3,,Modern,Two Grey Hills,,,Chuska soil samples,,12S,694391,4010652,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.19,,,,,,,,,,,,,,,,,,,,0.396,,,1.98,,,6.03,
174,Soils,CH08-1,,Modern,Crumbled House,,,Chuska soil samples,,12S,699066,4009769,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.44,,,,,,,,,,,,,,,,,,,,0.259,,,1.293,,,0.55,
175,Soils,CH08-1,,Modern,Crumbled House,,,Chuska soil samples,,12S,699066,4009769,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8.06,,,,,,,,,,,,,,,,,,,,0.328,,,1.642,,,1.06,
176,Soils,CH08-1,,Modern,Crumbled House,,,Chuska soil samples,,12S,699066,4009769,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.24,,,,,,,,,,,,,,,,,,,,0.431,,,2.155,,,1.83,
177,Soils,CH08-2,,Modern,Crumbled House,,,Chuska soil samples,,12S,699781,4009794,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,7.95,,,,,,,,,,,,,,,,,,,,0.455,,,2.276,,,1.1,
178,Soils,CH08-2,,Modern,Crumbled House,,,Chuska soil samples,,12S,699781,4009794,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,7.9,,,,,,,,,,,,,,,,,,,,0.5,,,2.498,,,1.59,
179,Soils,CH08-2,,Modern,Crumbled House,,,Chuska soil samples,,12S,699781,4009794,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.2,,,,,,,,,,,,,,,,,,,,0.433,,,2.165,,,0.86,
180,Soils,CH08-3,,Modern,Crumbled House,,,Chuska soil samples,,12S,700434,4010555,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.13,,,,,,,,,,,,,,,,,,,,0.398,,,1.989,,,1.55,
181,Soils,CH08-3,,Modern,Crumbled House,,,Chuska soil samples,,12S,700434,4010555,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8.46,,,,,,,,,,,,,,,,,,,,0.938,,,4.69,,,3.29,
182,Soils,CH08-3,,Modern,Crumbled House,,,Chuska soil samples,,12S,700434,4010555,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.48,,,,,,,,,,,,,,,,,,,,1.062,,,5.31,,,2.8,
183,Soils,CTW08-1,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,705487,4018386,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.09,,,,,,,,,,,,,,,,,,,,0.453,,,2.266,,,15,
184,Soils,CTW08-1,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,705487,4018386,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,7.92,,,,,,,,,,,,,,,,,,,,0.555,,,2.775,,,25,
185,Soils,CTW08-1,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,705487,4018386,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.01,,,,,,,,,,,,,,,,,,,,0.67,,,3.349,,,1.38,
186,Soils,CTW08-2,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,703080,4018238,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8,,,,,,,,,,,,,,,,,,,,0.426,,,2.128,,,8.59,
187,Soils,CTW08-2,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,703080,4018238,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8,,,,,,,,,,,,,,,,,,,,0.675,,,3.376,,,5,
188,Soils,CTW08-3,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,706160,4019118,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,7.68,,,,,,,,,,,,,,,,,,,,37.6,,,188,,,425,
189,Soils,CTW08-3,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,706160,4019118,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,7.95,,,,,,,,,,,,,,,,,,,,1.389,,,6.947,,,130,
190,Soils,CTW08-3,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,706160,4019118,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.31,,,,,,,,,,,,,,,,,,,,0.942,,,4.708,,,76,
191,Soils,CTW08-4,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,706501,4019170,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.2,,,,,,,,,,,,,,,,,,,,1.001,,,5.004,,,11.27,
192,Soils,CTW08-4,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,706501,4019170,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8.31,,,,,,,,,,,,,,,,,,,,0.808,,,4.042,,,8.92,
193,Soils,CTW08-4,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,706501,4019170,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.02,,,,,,,,,,,,,,,,,,,,0.777,,,3.885,,,6.78,
194,Soils,CTW08-5,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,717364,4026394,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.13,,,,,,,,,,,,,,,,,,,,0.592,,,2.96,,,9.29,
195,Soils,CTW08-5,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,717364,4026394,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8.15,,,,,,,,,,,,,,,,,,,,0.345,,,1.726,,,2.83,
196,Soils,CTW08-5,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,717364,4026394,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.45,,,,,,,,,,,,,,,,,,,,0.274,,,1.37,,,1.1,
197,Soils,CTW08-6,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,716892,4025887,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.07,,,,,,,,,,,,,,,,,,,,1.247,,,6.235,,,9.47,
198,Soils,CTW08-6,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,716892,4025887,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8.07,,,,,,,,,,,,,,,,,,,,1.058,,,5.291,,,4.77,
199,Soils,CTW08-6,,Modern,Captain Toms Wash,,,Chuska soil samples,,12S,716892,4025887,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.1,,,,,,,,,,,,,,,,,,,,0.816,,,4.079,,,1.38,
