KeyID,Element,Specimen no.,Class,Taxon,Bone apatite sample?,Well #,Weight (mg),Enamel sample?,Well #,Weight,Collagen sample ID#,Collagen sample? ,%N.Collagen,%C.Collagen,C:N.Collagen,d15N.Collagen,d13C.Collagen,d13C.Bone,d18O.Bone,d13C.Enamel,d18O.Enamel,Linked ID nos,FS No.,Northing,Easting,Provenience notes,Portion,Side,Age,Weathering score,Condition notes,Specimen notes,C:N.Collagen,d15N.Collagen,d13C.Collagen,d13C.Bone,d18O.Bone,d13C.Enamel,d18O.Enamel
36AG,Vertebral- Thoracic ,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AH,Vertebral- Thoracic ,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AI,Vertebral- Lumbar (narrowest transverse process),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AJ,Vertebral- Lumbar (2nd narrowest transverse process),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,"no cracking or flaking present, small break in spinous process","element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AK,Vertebral- Lumbar (3rd narrowest transverse process),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AL,Vertebral- Lumbar (4th narrowest transverse process),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AM,Vertebral- Lumbar (widest transverse process),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AN,Sacrum,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,"no cracking or flaking present, some root etching on 2nd spinous process","element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AO,Rib- 1st,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Left,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AP,Rib- 2nd,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Left,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AQ,Rib,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Left,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AR,Rib- 1st,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right,juvenile to sub-adult,0,"no cracking or flaking present, some root etching on inferior side along the shaft","element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AS,Rib- 2nd,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AT,Rib- 3rd?,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right,juvenile to sub-adult,0,"no cracking or flaking present, some root etching on anterior side along the distal end of the shaft","element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AU,Rib,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AV,Rib,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AW,Rib,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AX,Rib,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right,juvenile to sub-adult,0,"no cracking or flaking present, some root etching on the inferior side along the distal end of the shaft","element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AY,Rib - Floating,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right?,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
37,Pieces of maxilla with teeth attached,37,Mammalia,Ovis (aries or canadensis),Maxilla,48,12.6,Molar,34,7.2,CC37,Maxillary bone,13.3,39,2.9,5,-20.3,-10.1,-7.3,-5.1,-6.9,Chaco Culture NHP,,3993322,232873,"13 S (WGS  84) Elev.= 1949 m, Surface- South Mesa",small section of maxilla from (P2) to (M2 or M3),left,sub-adult to adult,4,"flaking and cracking seen all over the element, teeth are breaking/falling apart","The three pieces of maxilla refit together, due to the size of the molars, either a an ""older"" sub-adult or adult. ",,,,,,,
38,Mandible,38,Mammalia,Artiodactyla,Maxilla,55,11.9,Molar,80,3.7,CC38,Mandibular bone,13.9,39.2,2.8,8.3,-14.2,-5.3,-5.9,-5.4,-0.2,Chaco Culture NHP,,3995005.9,239211.4,"Elev.= 1890 m, ""Deer"" (2014) ",Small section of mandibular body with possibly (P1) or (P2) attached.,left,sub-adult to adult,4,"extremely cracked and many bits flaking off, only pieces of teeth connected.","piece of mandible probably connected to (M1) or (M2), but due to weathering and breaking, I cannot tell which specifically or age or taxon",,,,,,,
39,Mandible fragments and fragments of teeth,39,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,-10.3,4,Chaco Culture NHP,,3994216.9,234501.5,"Elev.= 1872 m, (7/10/14)",Sections of the Mandible and teeth fragments,n/a,,,,,,,,,,,
39A,Mandible fragments ,39,Mammalia,Lepus sp.,,,,,,,CC39,Mandibular bone,14.6,42.7,2.9,11.4,-20.7,,,,,Chaco Culture NHP,,394216.9,234501.5,"Elev.= 1872 m, (7/10/14)",Section of left and right mandible near the mental symphysis and sections of the mandibular body with teeth attached. Right and left mandibles refit at mental symphysis (right refits in three pieces- teeth present are (P3) (M1) (M2)) (left refits into two pieces- teeth present are (P3) (M1) and piece of (M2)). ,n/a,"Sub-adult, juvenile",4 or 5,"right and left mandibles are all broken up, cracking and flaking is present, very fragile"," Due to the placement/pattern of the mental foramina, looks like a possible Lepus, due to small size, either a juvenile or sub-adult. ",,,,,,,
39B,Teeth Fragments,39,Mammalia,Lepus sp.,None available,,,Molar,45,14.1,,,,,,,,,,,,Chaco Culture NHP,,394216.9,234501.5,"Elev.= 1872 m, (7/10/14)",Multiple portions of teeth (most likely from same specimen as 39A),n/a,,,Teeth are broken and cracked,,,,,,,,
40,Multiple Teeth fragments,40,Mammalia,Lagomorpha,,,,Molar,44,16.3,,,,,,,,,,-13.7,-5.4,Chaco Culture NHP,,None,None,Mocking Bird Canyon (2014) ,,,,,,,,,,,,,
40A,Incisor,40,Mammalia,Lagomorpha,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,None,None,Mocking Bird Canyon (2014) ,Intact,left,Sub-adult to adult,0 to 1,come cracking/flaking present,"Due to size and morphology of element, either from a sub-adult Lepus or a large Sylvilagus, resembles Sylvilagus morphology more",,,,,,,
40B,(M2 -P4),40,Mammalia,Lagomorpha,None available,,,,,,,,,,,,,,,,,Chaco Culture NHP,,None,None,Mocking Bird Canyon (2014) ,Mostly intact,left,Sub-adult to adult,0,"some pieces of the tooth are falling off if touched, but no cracking/flaking","Due to size and morphology of element, either from a sub-adult Lepus or a large Sylvilagus, resembles Sylvilagus morphology more",,,,,,,
40C,(M2 -P4),40,Mammalia,Lagomorpha,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,None,None,Mocking Bird Canyon (2014) ,Mostly intact,left,Sub-adult to adult,1 to 2,"Anterior size of tooth has been broken/ has flaked off, pieces of distal end broken off.","Due to size and morphology of element, either from a sub-adult Lepus or a large Sylvilagus, resembles Sylvilagus morphology more",,,,,,,
40D,(M2 -P4)?,40,Mammalia,Lagomorpha,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,None,None,Mocking Bird Canyon (2014) ,half intact,Unknown,Sub-adult to adult,2,tooth is breaking- cracks and flaking present along shaft. ,"due to lack of tooth present, unsure as to which tooth/what animal belong too, possibly Lepus or Sylvilagus",,,,,,,
40E,Possible tooth,40,Mammalia,Lagomorpha,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,None,None,Mocking Bird Canyon (2014) ,intact,Unknown,Sub-adult to adult,0,"one hole in element, but no cracking/flaking.","Unsure what this really is, need to ask Dr. Jones",,,,,,,
40F,"Possible fragments of mandible, maxilla, cranium, or tooth",40,Mammalia,Lagomorpha,,,,,,,CC40,Cranial bone,14.1,39.4,2.8,2.9,-16,,,,,Chaco Culture NHP,,None,None,Mocking Bird Canyon (2014) ,,Unknown,Sub-adult to adult,0,,"""Leftover bits""",,,,,,,
41,Pieces of Mandible and incisors,41,Mammalia,Cynomys sp.,Mandible,26,7.1,Molar,,,CC41,Cranial/mandibular elements ,17.5,48.8,2.8,5.3,-12.9,-7.2,4.2,,,Chaco Culture NHP,,399770,234229,"13 S (WGS 84) Elev.= 1919 m, Surface (2013)","Possible incisor is present among assemblage, pieces of the mandibular body are present and still have teeth attached, top of mandibular ramus and condyle are present",Left,"Sub-adult, juvenile",3,"element is in pieces, cracks and flakes are present, teeth in situ are stable, incisors are not.","Due to the pattern of the teeth and the overall shape of the remaining pieces of the mandible, It resembles Cynomys. Due to the small size, either a juvenile or sub-adult. Refit with the proximal and distal ends of the teeth (and incisors).",,,,,,,
42,Almost Intact Skeleton,42,Reptilia,Uta stansubriana,,,,,,,CC42,Partial spine,15,44.7,3,19.3,-16.6,,,,,29SJ387- Wetherill,,307,390,"Level 1, Sept. 22, 2014, Samantha Ascoli, E. ""Lizard""","Almost completed skeleton, missing one ""arm""",n/a,Sub-adult to adult,0,"Skeleton recently extracted from bug colony, no weathering occurred","Specimen is almost intact, except for missing arm from bug colony. ",,,,,,,
43,Fused maxilla incl most teeth,43,Mammalia,Lepus sp.,Maxilla,42,5.3,Molar,20,9,CC43,From maxillary bone,15.5,43.9,2.8,12.2,-12.6,-5.9,-2.7,-3.5,2.2,Chaco Culture NHP,,399381.9,233830,Elev.=1931m (10/10/2014,intact,both,adult,0,no cracking or flaking present,Specimen intact,,,,,,,
44A,mandible and portions of teeth,44,Mammalia,Cervus elaphus,,,,,,,CC44,From mandibular bone,15.3,43,2.8,10.1,-15.9,-7.9,-6.8,-9.9,0,Chaco Culture NHP,,399387,2636147,"1866m; bottom of chaco wash, s. of Hungo Pavi Ruin",horizontal ramus/body,L,,4,"flaking and cracking seen all over the element, teeth are breaking/falling apart",,,,,,,,
44B,mandible and most teeth,44,Mammalia,Cervus elaphus,Mandible,56,15.1,Molar,60,14.6,,,,,,,,,,,,Chaco Culture NHP,,399387,2636147,"1866m; bottom of chaco wash, s. of Hungo Pavi Ruin",vertical ramus and most of body,R,,2,cracking and flaking,,,,,,,,
